"x"
"XXLVLDLPLp_1"
"XXLVLDLPLp_3"
"XXLVLDLCp_1"
"XXLVLDLCp_3"
"XXLVLDLCEp_1"
"XXLVLDLCEp_3"
"XXLVLDLFCp_1"
"XXLVLDLFCp_3"
"XXLVLDLTGp_1"
"XXLVLDLTGp_3"
"XLVLDLPLp_1"
"XLVLDLPLp_3"
"XLVLDLCp_1"
"XLVLDLCp_3"
"XLVLDLCEp_1"
"XLVLDLCEp_3"
"XLVLDLFCp_1"
"XLVLDLFCp_3"
"XLVLDLTGp_1"
"XLVLDLTGp_3"
"LVLDLPLp_1"
"LVLDLPLp_3"
"LVLDLCp_1"
"LVLDLCp_3"
"LVLDLCEp_1"
"LVLDLCEp_3"
"LVLDLFCp_1"
"LVLDLFCp_3"
"LVLDLTGp_1"
"LVLDLTGp_3"
"MVLDLPLp_1"
"MVLDLPLp_3"
"MVLDLCp_1"
"MVLDLCp_3"
"MVLDLCEp_1"
"MVLDLCEp_3"
"MVLDLFCp_1"
"MVLDLFCp_3"
"MVLDLTGp_1"
"MVLDLTGp_3"
"SVLDLPLp_1"
"SVLDLPLp_3"
"SVLDLCp_1"
"SVLDLCp_3"
"SVLDLCEp_1"
"SVLDLCEp_3"
"SVLDLFCp_1"
"SVLDLFCp_3"
"SVLDLTGp_1"
"SVLDLTGp_3"
"XSVLDLPLp_1"
"XSVLDLPLp_3"
"XSVLDLCp_1"
"XSVLDLCp_3"
"XSVLDLCEp_1"
"XSVLDLCEp_3"
"XSVLDLFCp_1"
"XSVLDLFCp_3"
"XSVLDLTGp_1"
"XSVLDLTGp_3"
"IDLPLp_1"
"IDLPLp_3"
"IDLCp_1"
"IDLCp_3"
"IDLCEp_1"
"IDLCEp_3"
"IDLFCp_1"
"IDLFCp_3"
"IDLTGp_1"
"IDLTGp_3"
"LLDLPLp_1"
"LLDLPLp_3"
"LLDLCp_1"
"LLDLCp_3"
"LLDLCEp_1"
"LLDLCEp_3"
"LLDLFCp_1"
"LLDLFCp_3"
"LLDLTGp_1"
"LLDLTGp_3"
"MLDLPLp_1"
"MLDLPLp_3"
"MLDLCp_1"
"MLDLCp_3"
"MLDLCEp_1"
"MLDLCEp_3"
"MLDLFCp_1"
"MLDLFCp_3"
"MLDLTGp_1"
"MLDLTGp_3"
"SLDLPLp_1"
"SLDLPLp_3"
"SLDLCp_1"
"SLDLCp_3"
"SLDLCEp_1"
"SLDLCEp_3"
"SLDLFCp_1"
"SLDLFCp_3"
"SLDLTGp_1"
"SLDLTGp_3"
"XLHDLPLp_1"
"XLHDLPLp_3"
"XLHDLCp_1"
"XLHDLCp_3"
"XLHDLCEp_1"
"XLHDLCEp_3"
"XLHDLFCp_1"
"XLHDLFCp_3"
"XLHDLTGp_1"
"XLHDLTGp_3"
"LHDLPLp_1"
"LHDLPLp_3"
"LHDLCp_1"
"LHDLCp_3"
"LHDLCEp_1"
"LHDLCEp_3"
"LHDLFCp_1"
"LHDLFCp_3"
"LHDLTGp_1"
"LHDLTGp_3"
"MHDLPLp_1"
"MHDLPLp_3"
"MHDLCp_1"
"MHDLCp_3"
"MHDLCEp_1"
"MHDLCEp_3"
"MHDLFCp_1"
"MHDLFCp_3"
"MHDLTGp_1"
"MHDLTGp_3"
"SHDLPLp_1"
"SHDLPLp_3"
"SHDLCp_1"
"SHDLCp_3"
"SHDLCEp_1"
"SHDLCEp_3"
"SHDLFCp_1"
"SHDLFCp_3"
"SHDLTGp_1"
"SHDLTGp_3"
"DHAFA_1"
"DHAFA_3"
"LAFA_1"
"LAFA_3"
"CLAFA_1"
"CLAFA_3"
"FAw3FA_1"
"FAw3FA_3"
"FAw6FA_1"
"FAw6FA_3"
"PUFAFA_1"
"PUFAFA_3"
"MUFAFA_1"
"MUFAFA_3"
"SFAFA_1"
"SFAFA_3"
"ApoBApoA1_1"
"ApoBApoA1_3"
"TGPG_1"
"TGPG_3"
"DAGTG_1"
"DAGTG_3"
